Parkinginfo_px,Parkinginfo,Py,Px
,,24.99111,121.65641
,,25.01057,121.47768
,,25.24074,121.56469
,,24.96116,121.53698
,,25.03113,121.84689
,,24.84191,121.46107
,,25.11617,121.84141
,,25.17021,121.43995
,,25.16462,121.44931
,,25.10087,121.64258
,,25.04861,121.78702
,,25.05549,121.48361
,,25.03438,121.45288
,,25.07172,121.49604
,,24.95741,121.50206
,,24.97279,121.39406
,,24.91844,121.68116
,,25.05047,121.47561
,,24.99141,121.42461
,,25.15931,121.41355
,,25.02738,121.86504
,,24.93056,121.37286
,,24.87416,121.54454
,,25.15906,121.43562
,,25.17003,121.43881
,,24.96097,121.55983
,,24.96781,121.72741
,,24.95037,121.44671
,,24.95038,121.74078
,,25.01233,121.46557
,,25.02995,121.45144
,,24.86531,121.55166
,,25.00354,121.62771
,,25.23057,121.62642
,,25.11236,121.91952
,,25.01292,121.46121
,,25.09791,121.47546
,,24.94583,121.55111
,,25.08409,121.47127
,,24.93774,121.71186
,,25.10981,121.84345
,,25.15454,121.40279
,,24.98236,121.49279
,,25.00079,121.61267
,,25.10501,121.85862
,,24.98893,121.50484
,,25.10903,121.84328
,,24.98361,121.61491
,,25.16994,121.44171
,,25.24903,121.50736
,,25.14931,121.40311
,,25.16372,121.42275
,,25.19518,121.48651
,,24.91192,121.54016
,,25.23736,121.49456
,,25.25553,121.51209
,,24.84488,121.44838
,,25.27185,121.59122
,,25.17186,121.43849
,,25.05753,121.42202
,,25.17201,121.43804
,,24.93354,121.36951
,,25.14362,121.39665
,,25.08721,121.82681
,,24.77741,121.50213
,,24.90365,121.37212
,,24.99179,121.67622
,,24.91982,121.54558
,,25.03449,121.76375
,,24.97936,121.41941
,,25.08307,121.46042
,,25.01879,121.93859
,,24.88956,121.39095
,,25.23579,121.47378
,,25.14349,121.43226
,,25.05721,121.42853
,,25.18212,121.41593
,,24.91228,121.71929
,,25.04738,121.78293
,,24.95043,121.69331
,,24.99061,121.66172
,,25.08193,121.40011
,,24.95601,121.42366
,,25.02168,121.94421
,,24.97393,121.49932
,,25.25446,121.51697
,,25.25624,121.51158
,,25.17897,121.42828
,,25.20527,121.68832
,,25.17451,121.43175
,,25.12761,121.42541
,,25.04341,121.74441
,,25.16391,121.41261
,,25.19091,121.52075
,,24.93265,121.70458
,,25.05877,121.85199
,,25.08281,121.48801
,,25.03341,121.45096
,,24.93016,121.70035
,,25.28849,121.53415
,,25.02565,121.74002
,,24.99031,121.60557
,,25.20721,121.69091
,,25.29127,121.56765
,,25.01391,121.46351
,,25.00122,121.61271
,,24.94924,121.74019
,,25.20721,121.51802
,,25.25675,121.49751
,,25.19051,121.44394
,,25.13219,121.44767
,,25.05011,121.32419
,,25.05355,121.48878
,,25.02188,121.46889
,,24.87176,121.35487
,,24.93308,121.70165
